date,region,product_id,product_name,channel,units_sold,unit_price,returns_units,returns_value,unit_cost
2026-04-01,North,SKU-101,Aurora Desk Lamp,web,58,42.0,2,84.0,24.0
2026-04-01,North,SKU-101,Aurora Desk Lamp,marketplace,29,42.0,0,0.0,24.0
2026-04-01,North,SKU-101,Aurora Desk Lamp,retail,14,42.0,0,0.0,24.0
2026-04-01,North,SKU-102,Nimbus Bottle,web,95,28.0,3,84.0,11.0
2026-04-01,North,SKU-102,Nimbus Bottle,marketplace,50,28.0,2,56.0,11.0
2026-04-01,North,SKU-102,Nimbus Bottle,retail,26,28.0,1,28.0,11.0
2026-04-01,North,SKU-103,Halo Phone Stand,web,116,19.0,6,114.0,7.5
2026-04-01,North,SKU-103,Halo Phone Stand,marketplace,64,19.0,3,57.0,7.5
2026-04-01,North,SKU-103,Halo Phone Stand,retail,31,19.0,1,19.0,7.5
2026-04-01,North,SKU-104,Drift Yoga Mat,web,27,55.0,2,110.0,26.0
2026-04-01,North,SKU-104,Drift Yoga Mat,marketplace,13,55.0,1,55.0,26.0
2026-04-01,North,SKU-104,Drift Yoga Mat,retail,6,55.0,0,0.0,26.0
2026-04-01,South,SKU-101,Aurora Desk Lamp,web,63,42.0,2,84.0,24.0
2026-04-01,South,SKU-101,Aurora Desk Lamp,marketplace,32,42.0,1,42.0,24.0
2026-04-01,South,SKU-101,Aurora Desk Lamp,retail,16,42.0,0,0.0,24.0
2026-04-01,South,SKU-102,Nimbus Bottle,web,111,28.0,3,84.0,11.0
2026-04-01,South,SKU-102,Nimbus Bottle,marketplace,57,28.0,2,56.0,11.0
2026-04-01,South,SKU-102,Nimbus Bottle,retail,28,28.0,1,28.0,11.0
2026-04-01,South,SKU-103,Halo Phone Stand,web,133,19.0,5,95.0,7.5
2026-04-01,South,SKU-103,Halo Phone Stand,marketplace,80,19.0,3,57.0,7.5
2026-04-01,South,SKU-103,Halo Phone Stand,retail,39,19.0,2,38.0,7.5
2026-04-01,South,SKU-104,Drift Yoga Mat,web,31,55.0,2,110.0,26.0
2026-04-01,South,SKU-104,Drift Yoga Mat,marketplace,16,55.0,1,55.0,26.0
2026-04-01,South,SKU-104,Drift Yoga Mat,retail,7,55.0,0,0.0,26.0
2026-04-01,West,SKU-101,Aurora Desk Lamp,web,40,42.0,1,42.0,24.0
2026-04-01,West,SKU-101,Aurora Desk Lamp,marketplace,21,42.0,0,0.0,24.0
2026-04-01,West,SKU-101,Aurora Desk Lamp,retail,10,42.0,0,0.0,24.0
2026-04-01,West,SKU-102,Nimbus Bottle,web,71,28.0,2,56.0,11.0
2026-04-01,West,SKU-102,Nimbus Bottle,marketplace,37,28.0,1,28.0,11.0
2026-04-01,West,SKU-102,Nimbus Bottle,retail,20,28.0,0,0.0,11.0
2026-04-01,West,SKU-103,Halo Phone Stand,web,90,19.0,2,38.0,7.5
2026-04-01,West,SKU-103,Halo Phone Stand,marketplace,43,19.0,2,38.0,7.5
2026-04-01,West,SKU-103,Halo Phone Stand,retail,21,19.0,0,0.0,7.5
2026-04-01,West,SKU-104,Drift Yoga Mat,web,20,55.0,1,55.0,26.0
2026-04-01,West,SKU-104,Drift Yoga Mat,marketplace,9,55.0,0,0.0,26.0
2026-04-01,West,SKU-104,Drift Yoga Mat,retail,4,55.0,0,0.0,26.0
2026-04-02,North,SKU-101,Aurora Desk Lamp,web,63,42.0,2,84.0,24.0
2026-04-02,North,SKU-101,Aurora Desk Lamp,marketplace,33,42.0,1,42.0,24.0
2026-04-02,North,SKU-101,Aurora Desk Lamp,retail,17,42.0,0,0.0,24.0
2026-04-02,North,SKU-102,Nimbus Bottle,web,108,28.0,4,112.0,11.0
2026-04-02,North,SKU-102,Nimbus Bottle,marketplace,60,28.0,3,84.0,11.0
