week_start,region,channel,campaign_name,spend_usd,new_customers_attributed
2026-04-06,North,paid_social,Always-On Social Prospecting,5009.53,103
2026-04-06,North,search,Brand + Generic Search,4649.79,114
2026-04-06,North,influencer,Creator Seeding Program,2075.05,48
2026-04-06,South,paid_social,Always-On Social Prospecting,6672.21,161
2026-04-06,South,search,Brand + Generic Search,4736.11,111
2026-04-06,South,influencer,Creator Seeding Program,2596.3,54
2026-04-06,West,paid_social,Always-On Social Prospecting,3594.0,78
2026-04-06,West,search,Brand + Generic Search,3037.7,56
2026-04-06,West,influencer,Creator Seeding Program,1507.65,37
2026-04-13,North,paid_social,Always-On Social Prospecting,5099.69,123
2026-04-13,North,search,Brand + Generic Search,4452.81,87
2026-04-13,North,influencer,Creator Seeding Program,1844.27,37
2026-04-13,South,paid_social,Always-On Social Prospecting,7144.08,154
2026-04-13,South,search,Brand + Generic Search,4358.91,97
2026-04-13,South,influencer,Creator Seeding Program,2519.52,53
2026-04-13,West,paid_social,Always-On Social Prospecting,3605.26,72
2026-04-13,West,search,Brand + Generic Search,3202.08,56
2026-04-13,West,influencer,Creator Seeding Program,1362.46,29
2026-04-20,North,paid_social,Always-On Social Prospecting,5517.93,129
2026-04-20,North,search,Brand + Generic Search,5281.55,134
2026-04-20,North,influencer,Creator Seeding Program,1787.38,42
2026-04-20,South,paid_social,Always-On Social Prospecting,6901.32,158
2026-04-20,South,search,Brand + Generic Search,4343.16,92
2026-04-20,South,influencer,Creator Seeding Program,2429.7,56
2026-04-20,West,paid_social,Always-On Social Prospecting,4150.27,99
2026-04-20,West,search,Brand + Generic Search,3026.5,74
2026-04-20,West,influencer,Creator Seeding Program,1500.81,37
2026-04-27,North,paid_social,Always-On Social Prospecting,5074.6,115
2026-04-27,North,search,Brand + Generic Search,4573.4,99
2026-04-27,North,influencer,Creator Seeding Program,2350.8,58
2026-04-27,South,paid_social,Always-On Social Prospecting,6606.0,122
2026-04-27,South,search,Brand + Generic Search,4806.29,107
2026-04-27,South,influencer,Creator Seeding Program,2715.28,48
2026-04-27,West,paid_social,Always-On Social Prospecting,4040.96,77
2026-04-27,West,search,Brand + Generic Search,2967.17,74
2026-04-27,West,influencer,Creator Seeding Program,1421.13,33
2026-05-04,North,paid_social,Always-On Social Prospecting,5589.68,132
2026-05-04,North,search,Brand + Generic Search,4171.14,85
2026-05-04,North,influencer,Creator Seeding Program,1983.15,46
2026-05-04,South,paid_social,Always-On Social Prospecting,6526.16,163
2026-05-04,South,search,Brand + Generic Search,5273.84,130
2026-05-04,South,influencer,Creator Seeding Program,2543.16,54
2026-05-04,West,paid_social,Always-On Social Prospecting,3307.98,67
2026-05-04,West,search,Brand + Generic Search,2833.3,56
2026-05-04,West,influencer,Creator Seeding Program,1672.57,38
2026-05-11,North,paid_social,Always-On Social Prospecting,5200.41,113
2026-05-11,North,search,Brand + Generic Search,4396.32,96
2026-05-11,North,influencer,Creator Seeding Program,2264.04,44
2026-05-11,South,paid_social,Always-On Social Prospecting,6043.84,119
2026-05-11,South,search,Brand + Generic Search,4940.17,144
2026-05-11,South,influencer,Creator Seeding Program,2984.32,82
2026-05-11,West,paid_social,Always-On Social Prospecting,3390.36,62
2026-05-11,West,search,Brand + Generic Search,3541.88,70
2026-05-11,West,influencer,Creator Seeding Program,1534.74,28
2026-05-18,North,paid_social,Always-On Social Prospecting,5668.69,124
2026-05-18,North,search,Brand + Generic Search,4448.72,133
2026-05-18,North,influencer,Creator Seeding Program,2128.74,41
2026-05-18,South,paid_social,Always-On Social Prospecting,5915.94,151
2026-05-18,South,search,Brand + Generic Search,4696.82,123
2026-05-18,South,influencer,Creator Seeding Program,2336.44,53
2026-05-18,West,paid_social,Always-On Social Prospecting,3409.64,84
2026-05-18,West,search,Brand + Generic Search,3586.99,83
2026-05-18,West,influencer,Creator Seeding Program,1450.88,29
2026-05-25,North,paid_social,Always-On Social Prospecting,5050.82,93
2026-05-25,North,search,Brand + Generic Search,4244.07,107
2026-05-25,North,influencer,Creator Seeding Program,1987.39,43
2026-05-25,South,paid_social,Always-On Social Prospecting,7052.32,161
2026-05-25,South,search,Brand + Generic Search,5066.05,126
2026-05-25,South,influencer,Creator Seeding Program,2678.65,62
2026-05-25,West,paid_social,Always-On Social Prospecting,3834.18,99
2026-05-25,West,search,Brand + Generic Search,3727.36,58
2026-05-25,West,influencer,Creator Seeding Program,1726.98,42
2026-06-01,North,paid_social,Always-On Social Prospecting,5037.55,123
2026-06-01,North,search,Brand + Generic Search,4036.71,92
2026-06-01,North,influencer,Creator Seeding Program,2293.98,49
2026-06-01,South,paid_social,Always-On Social Prospecting,5164.16,116
2026-06-01,South,search,Brand + Generic Search,4991.27,130
2026-06-01,South,influencer,Creator Seeding Program,2787.37,77
2026-06-01,West,paid_social,Always-On Social Prospecting,3830.47,93
2026-06-01,West,search,Brand + Generic Search,3475.77,72
2026-06-01,West,influencer,Creator Seeding Program,1540.33,45
2026-06-08,North,paid_social,Always-On Social Prospecting,4979.2,119
2026-06-08,North,search,Brand + Generic Search,4577.22,112
2026-06-08,North,influencer,Creator Seeding Program,1965.55,51
2026-06-08,South,paid_social,Always-On Social Prospecting,6364.45,138
2026-06-08,South,search,Brand + Generic Search,4899.42,115
2026-06-08,South,influencer,Creator Seeding Program,2413.95,59
2026-06-08,West,paid_social,Always-On Social Prospecting,3607.25,79
2026-06-08,West,search,Brand + Generic Search,3640.28,95
2026-06-08,West,influencer,Creator Seeding Program,1527.32,32
2026-06-15,North,paid_social,Always-On Social Prospecting,5217.17,127
2026-06-15,North,search,Brand + Generic Search,4657.81,110
